LOCATION_TEXT,ROAD,WEATHER,LIGHT,DESC,REPORTING_AGENCY,MAIN_CAUSE,INCIDENTDETAILS_ID,DATE_UTC,TIME_UTC,ADDRESS,killed_driver,killed_passenger,killed_pedestrian,injured_driver,injured_passenger,injured_pedestrian,killed_uncategorized,injured_uncategorized,killed_total,injured_total,DATETIME_PST,SEVERITY,Y,X,COLLISION_TYPE
None,EDSA,None,None,"No Accident Factor, No Collision Stated (based on Police Blotter Book), 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Day), Congressional Ave. Edsa Quezon City",MMDA Road Safety Unit,Human error,2414f311-e805-40c6-b8b9-116b51c35be7,2014-06-30,05:40:00,Congressional Ave. Edsa Quezon City,0,0,0,0,0,0,0,0,0,0,2014-06-30 13:40,Property,14.65771436,121.019788,No Collision Stated
None,EDSA,None,None,"No Accident Factor, No Collision Stated (based on Police Blotter Book), 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Day), Congressional Ave. near EDSA Exit Gate of SM Warehouse Bahay Toro Quezon City",MMDA Road Safety Unit,Human error,c359744e-e0e7-4541-8db8-5f334c2b4fd7,2014-03-17,01:00:00,Congressional Ave. near EDSA Exit Gate of SM Warehouse Bahay Toro Quezon City,0,0,0,0,0,0,0,0,0,0,2014-03-17 9:00,Property,14.65771436,121.019788,No Collision Stated
None,EDSA,None,None,"No Accident Factor, No Collision Stated (based on Police Blotter Book), 0.0 drivers_injured, 0.0 drivers_killed, 1.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Day), Congressional Ave. EDSA Quezon City",MMDA Road Safety Unit,Human error,84e0c352-c029-4393-9252-7516c77f471f,2013-11-26,02:00:00,Congressional Ave. EDSA Quezon City,0,0,0,0,1,0,0,0,0,1,2013-11-26 10:00,Injury,14.65771436,121.019788,No Collision Stated
None,EDSA,None,None,"No Accident Factor, No Collision Stated (based on Police Blotter Book), 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Night), Congressional Ave. EDSA Bgy.Magsaysay Quezon City",MMDA Road Safety Unit,Human error,33462d75-3bf8-483f-8cf2-63adab3a6924,2013-10-26,13:00:00,Congressional Ave. EDSA Bgy.Magsaysay Quezon City,0,0,0,0,0,0,0,0,0,0,2013-10-26 21:00,Property,14.65771436,121.019788,No Collision Stated
None,EDSA,None,None,"No Accident Factor, No Collision Stated (based on Police Blotter Book), 1.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Day), Congressional Ave. fronting EDSA N/B Quezon City",MMDA Road Safety Unit,Human error,2d2ef179-9c5c-4d5b-90de-8f12871a005c,2013-06-26,23:30:00,Congressional Ave. fronting EDSA N/B Quezon City,0,0,0,1,0,0,0,0,0,1,2013-06-27 7:30,Injury,14.65770646,121.0196601,No Collision Stated
None,EDSA,None,None,"No Accident Factor, No Collision Stated (based on Police Blotter Book), 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Day), Congressional Ave. EDSA fronting Mercury Drug store Quezon City",MMDA Road Safety Unit,Human error,e4c524b7-d26e-44de-a83c-a3bc01afbffb,2013-06-25,00:30:00,Congressional Ave. EDSA fronting Mercury Drug store Quezon City,0,0,0,0,0,0,0,0,0,0,2013-06-25 8:30,Property,14.65771436,121.019788,No Collision Stated
None,EDSA,None,None,"No Accident Factor, Self-Accident, 1.0 drivers_injured, 0.0 drivers_killed, 2.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Night), Congressional Ave. EDSA Bgy.Magsaysay Quezon City",MMDA Road Safety Unit,Human error,16ae32f8-7c0c-4e3e-b451-7baaf87e5093,2013-06-23,18:30:00,Congressional Ave. EDSA Bgy.Magsaysay Quezon City,0,0,0,1,2,0,0,0,0,3,2013-06-24 2:30,Injury,14.65771436,121.019788,Self-Accident
None,EDSA,None,None,"No Accident Factor, No Collision Stated (based on Police Blotter Book), 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Night), Congressional Ave. EDSA Quezon City",MMDA Road Safety Unit,Human error,ab638a26-06e1-4dc0-99bd-2910aa9516f7,2013-05-02,11:30:00,Congressional Ave. EDSA Quezon City,0,0,0,0,0,0,0,0,0,0,2013-05-02 19:30,Property,14.65771436,121.019788,No Collision Stated
None,EDSA,None,None,"No Accident Factor, No Collision Stated (based on Police Blotter Book), 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Day), Congressional Ave. EDSA Quezon City",MMDA Road Safety Unit,Human error,b620ba2d-9b2a-44be-b54e-de7cb45b9285,2013-02-03,23:30:00,Congressional Ave. EDSA Quezon City,0,0,0,0,0,0,0,0,0,0,2013-02-04 7:30,Property,14.65771436,121.019788,No Collision Stated
None,EDSA,None,None,"No Accident Factor, Self-Accident, 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Day), Congressional Ave. EDSA Quezon City",MMDA Road Safety Unit,Human error,02f536b6-9df8-4a9c-851f-50e601ebf707,2013-01-03,22:40:00,Congressional Ave. EDSA Quezon City,0,0,0,0,0,0,0,0,0,0,2013-01-04 6:40,Property,14.65771436,121.019788,Self-Accident
None,EDSA,None,None,"No Accident Factor, No Collision Stated (based on Police Blotter Book), 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Night), Congressional Ave. near EDSA Brgy.R.Magsaysay Quezon City",MMDA Road Safety Unit,Human error,a20a7b6d-e3b6-4e21-b8bd-843c13c7d1b2,2012-09-11,11:45:00,Congressional Ave. near EDSA Brgy.R.Magsaysay Quezon City,0,0,0,0,0,0,0,0,0,0,2012-09-11 19:45,Property,14.65771436,121.019788,No Collision Stated
None,EDSA,None,None,"No Accident Factor, No Collision Stated (based on Police Blotter Book), 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Day), Congressional Ave. EDSA, Bgy. Ramon Magsaysay Quezon City",MMDA Road Safety Unit,Human error,1bb3d116-91f7-4959-8243-7197df002bfa,2012-07-16,01:30:00,"Congressional Ave. EDSA, Bgy. Ramon Magsaysay Quezon City",0,0,0,0,0,0,0,0,0,0,2012-07-16 9:30,Property,14.65771436,121.019788,No Collision Stated
None,EDSA,None,None,"No Accident Factor, No Collision Stated (based on Police Blotter Book), 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Day), Congressional Ave. Near EDSA   Quezon City",MMDA Road Safety Unit,Human error,5a530e87-ef72-4eee-9384-18f5d37bee99,2012-06-19,02:50:00,Congressional Ave. Near EDSA   Quezon City,0,0,0,0,0,0,0,0,0,0,2012-06-19 10:50,Property,14.65771436,121.019788,No Collision Stated
None,EDSA,None,None,"No Accident Factor, Rear-end, 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Day), Congressional Ave. EDSA Brgy. R. Magsaysay Quezon City",MMDA Road Safety Unit,Human error,bd1c19c4-4d78-48a7-bb97-df778f2e5853,2012-05-26,03:00:00,Congressional Ave. EDSA Brgy. R. Magsaysay Quezon City,0,0,0,0,0,0,0,0,0,0,2012-05-26 11:00,Property,14.65771436,121.019788,Rear-End
None,EDSA,None,None,"No Accident Factor, No Collision Stated (based on Police Blotter Book), 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Night), Congressional Ave. EDSA (NB), Bgy. Bahay Toro Quezon City",MMDA Road Safety Unit,Human error,970368b4-ae84-41a5-a7a8-e3937906baee,2012-05-04,21:45:00,"Congressional Ave. EDSA (NB), Bgy. Bahay Toro Quezon City",0,0,0,0,0,0,0,0,0,0,2012-05-05 5:45,Property,14.65771436,121.019788,No Collision Stated
None,EDSA,None,None,"No Accident Factor, No Collision Stated (based on Police Blotter Book), 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Night), Congressional Ave. EDSA, Bgy. Ramon Magsaysay Quezon City",MMDA Road Safety Unit,Human error,58ae02bc-58d9-432d-9b1a-017e114a21ab,2012-04-11,19:45:00,"Congressional Ave. EDSA, Bgy. Ramon Magsaysay Quezon City",0,0,0,0,0,0,0,0,0,0,2012-04-12 3:45,Property,14.65771436,121.019788,No Collision Stated
None,EDSA,None,None,"No Accident Factor, No Collision Stated (based on Police Blotter Book), 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Night), Congressional Ave.  EDSA Quezon City",MMDA Road Safety Unit,Human error,b6d7a03a-b044-4a5e-bfdd-ef446cfc023f,2012-02-01,13:20:00,Congressional Ave.  EDSA Quezon City,0,0,0,0,0,0,0,0,0,0,2012-02-01 21:20,Property,14.65770646,121.0196601,No Collision Stated
None,EDSA,None,None,"Unknown, Side Swipe, 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Night), Congressional Ave. EDSA (NB) Quezon City",MMDA Road Safety Unit,Human error,31dcd202-6ed3-4fb7-bcae-7c8484af68ee,2011-05-14,10:25:00,Congressional Ave. EDSA (NB) Quezon City,0,0,0,0,0,0,0,0,0,0,2011-05-14 18:25,Property,14.65771436,121.019788,Side Swipe
None,EDSA,None,None,"Unknown, Hit and Run (No Collision Stated), 1.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Day), Congressional Ave. EDSA Quezon City",MMDA Road Safety Unit,Human error,dad96442-9395-4408-b13a-a6708c6318ad,2011-03-18,00:00:00,Congressional Ave. EDSA Quezon City,0,0,0,1,0,0,0,0,0,1,2011-03-18 8:00,Injury,14.65771436,121.019788,No Collision Stated
None,EDSA,None,None,"Unknown, Hit and Run (No Collision Stated), 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Dry, Congressional Ave. EDSA (NB) brgy. Bahay Toro Quezon City",MMDA Road Safety Unit,Human error,942fc174-497a-4ba8-bf51-489dee038726,2010-03-30,07:00:00,Congressional Ave. EDSA (NB) brgy. Bahay Toro Quezon City,0,0,0,0,0,0,0,0,0,0,2010-03-30 15:00,Property,14.65771436,121.019788,No Collision Stated
None,EDSA,None,None,"Unknown, Side Swipe, 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Dry, Congressional Ave. EDSA, fronting Mercury Drugstore, Bgy. Bahay Toro Quezon City",MMDA Road Safety Unit,Human error,011f16ea-af93-4dc6-a78d-333f644853ef,2010-01-28,06:00:00,"Congressional Ave. EDSA, fronting Mercury Drugstore, Bgy. Bahay Toro Quezon City",0,0,0,0,0,0,0,0,0,0,2010-01-28 14:00,Property,14.65771436,121.019788,Side Swipe
None,EDSA,None,None,"Unknown, Hit and Run (Side Swipe), 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Night), Congressional Ave. EDSA N/B Quezon City",MMDA Road Safety Unit,Human error,79d3abde-27b0-4d78-a1e8-82f3075a7bf3,2009-11-01,21:45:00,Congressional Ave. EDSA N/B Quezon City,0,0,0,0,0,0,0,0,0,0,2009-11-02 5:45,Property,14.65771436,121.019788,Side Swipe
None,EDSA,None,None,"Unknown, Side Swipe, 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Night), Congressional Ave. EDSA (NB), Bgy. Ramon Magsaysay Quezon City",MMDA Road Safety Unit,Human error,a2182e92-202d-4536-b161-fb8c9002eaec,2009-09-29,12:40:00,"Congressional Ave. EDSA (NB), Bgy. Ramon Magsaysay Quezon City",0,0,0,0,0,0,0,0,0,0,2009-09-29 20:40,Property,14.65771436,121.019788,Side Swipe
None,EDSA,None,None,"Unknown, Side Swipe, 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Day), Congressional Ave. near EDSA (NB), Bgy. R. Magsaysay Quezon City",MMDA Road Safety Unit,Human error,ef40a304-fe9f-4e4a-a8cd-59422908012b,2009-06-07,08:20:00,"Congressional Ave. near EDSA (NB), Bgy. R. Magsaysay Quezon City",0,0,0,0,0,0,0,0,0,0,2009-06-07 16:20,Property,14.65771436,121.019788,Side Swipe
None,EDSA,None,None,"Human Error, Angle Impact, 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Dry, Congressional Ave. EDSA (N/B) Quezon City",MMDA Road Safety Unit,Human error,de0168d0-47f3-414c-bf73-c86a08806a1d,2008-09-21,07:45:00,Congressional Ave. EDSA (N/B) Quezon City,0,0,0,0,0,0,0,0,0,0,2008-09-21 15:45,Property,14.65771436,121.019788,Angle Impact
None,EDSA,None,None,"No Accident Factor, No Collision Stated (based on Police Blotter Book), 0.0 drivers_injured, 0.0 drivers_killed, 0.0 passengers_injured, 0.0 passengers_killed, 0.0 pedestrian_injured, 0.0 pedestrian_killed, Fair (Day), Mindanao Ave.  Landmark, Pag-Asa Quezon City",MMDA Road Safety Unit,Human error,204aab74-bbc6-488c-b719-56e5cfe5a678,2016-09-27,02:30:00,"Mindanao Ave.  Landmark, Pag-Asa Quezon City",0,0,0,0,0,0,0,0,0,0,2016-09-27 10:30,Property,14.65080494,121.033341,No Collision Stated
